ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
12347,296.31559,-14.69769,17.7,0.08,18.771,0.095,1.071,0.124197423
12349,296.05261,-14.76461,17.51,0.09,18.602,0.099,1.092,0.133794619
12350,296.13573,-14.79993,17.41,0.06,18.796,0.103,1.386,0.11920151
12351,296.07739,-14.83153,17.63,0.09,18.81,0.118,1.18,0.148404852
12352,296.10172,-14.77797,17.46,0.08,18.484,0.079,1.024,0.112432202
12356,296.30797,-14.7992,17.44,0.07,18.789,0.101,1.349,0.122886126
12358,296.33899,-14.679,17.71,0.07,18.577,0.084,0.867,0.109343495
12360,296.13495,-14.88942,17.38,0.06,17.783,0.045,0.403,0.075
12362,296.24748,-14.76323,17.64,0.05,19.315,0.157,1.675,0.164769536
12364,296.15992,-14.8442,17.42,0.07,18.526,0.083,1.106,0.108577162
12365,296.19317,-14.8711,17.4,0.05,18.803,0.104,1.403,0.115394974
12370,296.27941,-14.64487,17.63,0.06,19.007,0.115,1.377,0.129711218
12372,296.14785,-14.94133,17.71,0.09,18.772,0.099,1.062,0.133794619
12374,296.28681,-14.76602,17.73,0.12,18.536,0.082,0.806,0.145340978
12380,296.39039,-14.73907,17.5,0.06,18.523,0.066,1.023,0.089196412
12381,296.3464,-14.92054,17.45,0.05,18.574,0.069,1.124,0.085211502
12384,296.26939,-14.79261,17.44,0.07,19.008,0.123,1.568,0.14152385
12386,296.11708,-14.75046,17.49,0.05,18.088,0.057,0.598,0.07582216
12387,296.19607,-14.85261,17.44,0.05,19.04,0.127,1.6,0.136488095
12389,296.37768,-14.92724,17.48,0.06,18.829,0.085,1.349,0.10404326
12390,296.19967,-14.89314,17.13,0.04,18.532,0.083,1.402,0.092135769
12392,296.33178,-14.69347,17.44,0.06,17.995,0.052,0.555,0.079397733
12395,296.26012,-14.82745,17.55,0.07,19.131,0.136,1.581,0.15295751
12397,296.2467,-14.79945,17.56,0.06,18.214,0.063,0.654,0.087
12398,296.4035,-14.8297,17.67,0.08,18.757,0.08,1.087,0.113137085
12401,296.15147,-14.82292,17.54,0.06,18.77,0.101,1.23,0.117477657
12403,296.18971,-14.87536,17.48,0.05,18.608,0.088,1.128,0.101212647
12408,296.26723,-14.64373,17.58,0.05,18.767,0.094,1.187,0.106470653
12409,296.20153,-14.69196,17.39,0.06,18.582,0.081,1.192,0.100801786
12412,296.42303,-14.90151,17.65,0.07,18.764,0.08,1.114,0.106301458
12413,296.27336,-14.8554,17.63,0.07,18.784,0.1,1.154,0.122065556
12416,296.1992,-14.77518,17.55,0.05,18.537,0.083,0.987,0.096896852
12417,296.18059,-14.7985,17.45,0.06,19.075,0.13,1.625,0.143178211
12421,296.29729,-14.6572,17.4,0.06,17.79,0.042,0.39,0.073239334
12423,296.39098,-14.85807,17.62,0.07,18.954,0.094,1.334,0.117200683
